20:53:27.712 > Loop t0
20:53:27.717 > Loop t0
20:53:27.722 > Loop t0
20:53:27.727 > Loop t0
20:53:27.732 > Loop t0
20:53:27.737 > Loop t0
20:53:27.742 > Loop t0
20:53:27.747 > Loop t0
20:53:27.752 > Loop t0
20:53:27.758 > Loop t0
20:53:27.762 > Loop t0
20:53:27.767 > Loop t0
20:53:27.772 > Loop t0
20:53:27.777 > Loop t0
20:53:27.782 > Loop t0
20:53:27.787 > Loop t0
20:53:27.792 > Loop t0
20:53:27.797 > Loop t0
20:53:27.802 > Loop t0
20:53:27.807 > Loop t0
20:53:27.812 > Loop t0
20:53:27.817 > Loop t0
20:53:27.822 > Loop t0
20:53:27.827 > Loop t0
20:53:27.832 > Loop t0
20:53:27.837 > Loop t0
20:53:27.842 > Loop t0
20:53:27.847 > Loop t0
20:53:27.852 > Loop t0
20:53:27.857 > Loop t0
20:53:27.862 > Loop t0
20:53:27.867 > Loop t0
20:53:27.872 > Loop t0
20:53:27.877 > Loop t0
20:53:27.882 > Loop t0
20:53:27.887 > Loop t0
20:53:27.892 > Loop t0
20:53:27.897 > Loop t0
20:53:27.902 > Loop t0
20:53:27.907 > Loop t0
20:53:27.912 > Loop t0
20:53:27.917 > Loop t0
20:53:27.922 > Loop t0
20:53:27.927 > Loop t0
20:53:27.932 > Loop t0
20:53:27.937 > Loop t0
20:53:27.942 > Loop t0
20:53:27.947 > Loop t0
20:53:27.952 > Loop t0
20:53:27.957 > Loop t0
20:53:27.962 > Loop t0
20:53:27.967 > Loop t0
20:53:27.972 > Loop t0
20:53:27.977 > Loop t0
20:53:27.982 > Loop t0
20:53:27.987 > Loop t0
20:53:27.992 > Loop t0
20:53:27.997 > Loop t0
20:53:28.002 > Loop t0
20:53:28.007 > Loop t0
20:53:28.012 > Loop t0
20:53:28.017 > Loop t0
20:53:28.022 > Loop t0
20:53:28.027 > Loop t0
20:53:28.032 > Loop t0
20:53:28.037 > Loop t0
20:53:28.042 > Loop t0
20:53:28.047 > Loop t0
20:53:28.052 > Loop t0
20:53:28.057 > Loop t0
20:53:28.062 > Loop t0
20:53:28.067 > Loop t0
20:53:28.072 > Loop t0
20:53:28.077 > Loop t0
20:53:28.082 > Loop t0
20:53:28.087 > Loop t0
20:53:28.092 > Loop t0
20:53:28.097 > Loop t0
20:53:28.102 > Loop t0
20:53:28.107 > Loop t0
20:53:28.112 > Loop t0
20:53:28.117 > Loop t0
20:53:28.122 > Loop t0
20:53:28.127 > Loop t0
20:53:28.132 > Loop t0
20:53:28.137 > Loop t0
20:53:28.142 > Loop t0
20:53:28.147 > Loop t0
20:53:28.152 > Loop t0
20:53:28.157 > Loop t0
20:53:28.162 > Loop t0
20:53:28.167 > Loop t0
20:53:28.172 > Loop t0
20:53:28.177 > Loop t0
20:53:28.182 > Loop t0
20:53:28.187 > Loop t0
20:53:28.192 > Loop t0
20:53:28.197 > Loop t0
20:53:28.202 > Loop t0
20:53:28.207 > Loop t0
20:53:28.212 > Loop t0
20:53:28.217 > Loop t0
20:53:28.222 > Loop t0
20:53:28.230 > Loop t0
20:53:28.232 > Loop t0
20:53:28.237 > Loop t0
20:53:28.243 > Loop t0
20:53:28.247 > Loop t0
20:53:28.252 > Loop t0
20:53:28.257 > Loop t0
20:53:28.262 > Loop t0
20:53:28.267 > Loop t0
20:53:28.272 > Loop t0
20:53:28.277 > Loop t0
20:53:28.282 > Loop t0
20:53:28.287 > Loop t0
20:53:28.292 > Loop t0
20:53:28.297 > Loop t0
20:53:28.302 > Loop t0
20:53:28.307 > Loop t0
20:53:28.312 > Loop t0
20:53:28.317 > Loop t0
20:53:28.322 > Loop t0
20:53:28.327 > Loop t0
20:53:28.332 > Loop t0
20:53:28.337 > Loop t0
20:53:28.342 > Loop t0
20:53:28.347 > Loop t0
20:53:28.352 > Loop t0
20:53:28.357 > Loop t0
20:53:28.362 > Loop t0
20:53:28.367 > Loop t0
20:53:28.372 > Loop t0
20:53:28.377 > Loop t0
20:53:28.382 > Loop t0
20:53:28.387 > Loop t0
20:53:28.392 > Loop t0
20:53:28.397 > Loop t0
20:53:28.402 > Loop t0
20:53:28.407 > Loop t0
20:53:28.412 > Loop t0
20:53:28.417 > Loop t0
20:53:28.422 > Loop t0
20:53:28.427 > Loop t0
20:53:28.432 > Loop t0
20:53:28.437 > Loop t0
20:53:28.442 > Loop t0
20:53:28.447 > Loop t0
20:53:28.452 > Loop t0
20:53:28.457 > Loop t0
20:53:28.462 > Loop t0
20:53:28.467 > Loop t0
20:53:28.472 > Loop t0
20:53:28.477 > Loop t0
20:53:28.482 > Loop t0
20:53:28.487 > Loop t0
20:53:28.492 > Loop t0
20:53:28.497 > Loop t0
20:53:28.502 > Loop t0
20:53:28.507 > Loop t0
20:53:28.512 > Loop t0
20:53:28.517 > Loop t0
20:53:28.522 > Loop t0
20:53:28.527 > Loop t0
20:53:28.532 > Loop t0
20:53:28.537 > Loop t0
20:53:28.542 > Loop t0
20:53:28.547 > Loop t0
20:53:28.552 > Loop t0
20:53:28.557 > Loop t0
20:53:28.562 > Loop t0
20:53:28.567 > Loop t0
20:53:28.572 > Loop t0
20:53:28.577 > Loop t0
20:53:28.582 > Loop t0
20:53:28.587 > Loop t0
20:53:28.592 > Loop t0
20:53:28.597 > Loop t0
20:53:28.602 > Loop t0
20:53:28.607 > Loop t0
20:53:28.612 > Loop t0
20:53:28.617 > Loop t0
20:53:28.622 > Loop t0
20:53:28.627 > Loop t0
20:53:28.632 > Loop t0
20:53:28.637 > Loop t0
20:53:28.642 > Loop t0
20:53:28.647 > Loop t0
20:53:28.652 > Loop t0
20:53:28.657 > Loop t0
20:53:28.662 > Loop t0
20:53:28.667 > Loop t0
20:53:28.672 > Loop t0
20:53:28.678 > Loop t0
20:53:28.682 > Loop t0
20:53:28.687 > Loop t0
20:53:28.692 > Loop t0
20:53:28.697 > Loop t0
20:53:28.702 > Loop t0
20:53:28.707 > Loop t0
20:53:28.713 > Loop t0
20:53:28.717 > Loop t0
20:53:28.722 > Loop t0
20:53:28.728 > Loop t0
20:53:28.732 > Loop t0
20:53:28.737 > Loop t0
20:53:28.742 > Loop t0
20:53:28.747 > Loop t0
20:53:28.752 > Loop t0
20:53:28.757 > Loop t0
20:53:28.762 > Loop t0
20:53:28.767 > Loop t0
20:53:28.772 > Loop t0
20:53:28.777 > Loop t0
20:53:28.782 > Loop t0
20:53:28.787 > Loop t0
20:53:28.792 > Loop t0
20:53:28.797 > Loop t0
20:53:28.802 > Loop t0
20:53:28.807 > Loop t0
20:53:28.812 > Loop t0
20:53:28.817 > Loop t0
20:53:28.822 > Loop t0
20:53:28.827 > Loop t0
20:53:28.832 > Loop t0
20:53:28.837 > Loop t0
20:53:28.842 > Loop t0
20:53:28.847 > Loop t0
20:53:28.852 > Loop t0
20:53:28.857 > Loop t0
20:53:28.862 > Loop t0
20:53:28.867 > Loop t0
20:53:28.872 > Loop t0
20:53:28.877 > Loop t0
20:53:28.882 > Loop t0
20:53:28.887 > Loop t0
20:53:28.892 > Loop t0
20:53:28.897 > Loop t0
